,,Name,Location,Cat ,Web
263,,Potassium phosphate monobasic KH2PO4,Chemical cabinet and fume hood 663,BP362-500,fishersci.com
264,,Potassium tetraborate tetrahydrate,Chemical cabinet 663,39435,alfa.com
265,,Potassium-L-aspartate,Chemical cabinet 663,P22450,pfaltzandbauer.com
266,,Potato dextrose agar,Chemical cabinet 663,P2182-250G,sigmaaldrich.com
267,,Power bead solution,Jenny's bench 663,157033243,qiagen.com
268,L-,Proline,Chemical drawer and fume hood 663,P0380-100G,sigmaaldrich.com
269,,Proteinase K,Side -20 663,P2038-100MG,sigmaaldrich.com
270,,Proteose peptone no.3 bacto,Chemical cabinet 663,211693500G,bdbiosciences.com
271,,Pyridoxal 5'-phosphate,Side -20 663,P9255-5G,sigmaaldrich.com
272,,Pyridoxal HCl,Side -20 663,P6155-5G,sigmaaldrich.com
273,,Pyridoxamine dihydrochloride,Chemical drawer 663,P9380-1G,sigmaaldrich.com
274,,Pyridoxine HCl,Chemical drawer 663,P-9755,sigmaaldrich.com
275,,Quercentin Dihyrdrate,Chemical drawer 663,21000,usbweb.com
276,D-(+),Raffinose pentahydrate,Chemical cabinet 663,R0250-25G,sigmaaldrich.com
277,,Reinforced clostridial medium,Chemical cabinet 663,218081,bdbiosciences.com
278,,Resazurin sodoim salt,Chemical drawer 663,R7017-1G,sigmaaldrich.com
279,(-),Riboflavin,Chemical cabinet fume hood 663,P9504-25G,sigmaaldrich.com
280,,Riboflavin 5'-phosphate sodium salt hydrate,Side -20 663,R7704-25G,sigmaaldrich.com
281,D-(-),Ribose,Chemical drawer 663,R9629-25G,sigmaaldrich.com
282,,Rifampicin,Side -20 663,R3501-5G,sigmaaldrich.com
283,,Rubidium chloride,Chemical drawer and fridge 663,12892,alfa.com
284,,Saccarin sodium,Chemical cabinet 663,S394-500,fishersci.com
285,L-,Serine,Chemical drawer and fume hood 663,S4500-100G,sigmaaldrich.com
286,DL-,Serine hydroxamate,Side -20 663,S4503-250MG,sigmaaldrich.com
287,,Silver sulfate,Chemical drawer 663,11417,alfa.com
288,,Skim milk,Fridge 663,6342932,bdbiosciences.com
289,,SOB medium,Annie's bench 607,244310,bdbiosciences.com
290,,Sodium acetate anhydrous,Chemical cabinet 663,A13184,alfa.com
291,,Sodium azide,Chemical cabinet and drawer 663,S5761-500G,sigmaaldrich.com
292,,Sodium bicarbonate,Chemical cabinet Fume hood Large chemical cabinet and Armando's bench 663,BP357-1,fishersci.com
293,,Sodium chloride,Chemical cabinet Fume hood and large chemical cabinet 663,S7653-1KG,sigmaadrich.com
294,,Sodium chloride crystal,Annie's bench 607,3654-05,avantornic.com
295,,Sodium citrate dihydrate,Chemical cabinet 663,3646-01,avantornic.com
296,,Sodium Deoxycholate,Chemical drawer 663,D6750-25G,sigmaadrich.com
297,,Sodium dodecyl sulfate (SDS),Chemical cabinet and large cabinet 663,BP166-500,fishersci.com
298,,Sodium fluoride,Chemical cabinet 663,11561,alfa.com
299,,Sodium formate,Chemical cabinet and drawer 663,71539,sigmaadrich.com
300,,Sodium glychochenodeoxycholate,Chemical drawer 663,G0759-500MG,alfa.com
301,,Sodium glycocholate hydrate,Chemical drawer 663,G7132-1G,sigmaaldrich.com
302,,Sodium glycodeoxycholate,Chemical drawer 663,G9910-1G,sigmaaldrich.com
303,,Sodium hydroxide,Large chemical cabinet 663,7708.06,avantormaterials.com
304,,Sodium L-tartrate dibasic dihydrate,Chemical cabinet 663,33242,alfa.com
305,,Sodium molybdate dihydrate,Chemical drawer 663,331058-5G,sigmaaldrich.com
306,,Sodium nitrate,Chemical cabinet 663,S343-500,fishersci.com
