ID,,Name,Location,Cat #,Web
395,,Sodium dodecyl sulfate (SDS),Chemical cabinet and large cabinet 663,BP166-500,fishersci.com
396,,Sodium fluoride,Chemical cabinet 663,11561,alfa.com
397,,Sodium formate,Chemical cabinet and drawer 663,71539,sigmaadrich.com
398,,Sodium glychochenodeoxycholate,Chemical drawer 663,G0759-500MG,alfa.com
399,,Sodium glycocholate hydrate,Chemical drawer 663,G7132-1G,sigmaaldrich.com
400,,Sodium glycodeoxycholate,Chemical drawer 663,G9910-1G,sigmaaldrich.com
401,,Sodium hydroxide,Large chemical cabinet 663,7708.06,avantormaterials.com
402,,Sodium L-tartrate dibasic dihydrate,Chemical cabinet 663,33242,alfa.com
403,,Sodium molybdate dihydrate,Chemical drawer 663,331058-5G,sigmaaldrich.com
404,,Sodium nitrate,Chemical cabinet 663,S343-500,fishersci.com
405,,Sodium nitrite,Chemical cabinet 663,237213-100G,sigmaaldrich.com
406,,Sodium n-octyl sulfate,Chemical drawer 663,A11786,alfa.com
407,1-4,Sodium phosphate dibasic anhydrous,Chemical cabinet 663,3828-01,avantornic.com
408,,Sodium phosphate monobasic monohydrate,Large chemical cabinet 663,0832-1KG,us.vwr.com
409,,Sodium polyphosphate,Chemical cabinet 663,390432500,fishersci.com
410,,Sodium pyrophosphate 10-hydrate,Chemical cabinet 663,3850-0,avantornic.com
411,,Sodium selenite,Chemical drawer 663,S5261-10G,sigmaaldrich.com
412,,Sodium succinate dibasic hexahydrate,Chemical cabinet 663,S2378-100G,sigmaaldrich.com
413,,Sodium sulfate ,Fume hood 663,239313-500G,sigmaaldrich.com
414,,Sodium sulfide nonahydrate,Fridge 663,208043-5G,sigmaaldrich.com
415,,Sodium sulfite anhydrous,Chemical cabinet 663,71989,sigmaaldrich.com
416,,Sodium taurochenodeoxycholate,Chemical drawer 663,T6260-250MG,sigmaaldrich.com
417,,Sodium taurochenodeoxycholate hydrate,Chemical drawer 663,T0875-1G,sigmaaldrich.com
418,,Sodium taurocholate,Chemical cabinet 663,CR011-500G,himedialabs.com
419,,Sodium taurodeoxycholate ,Chemical drawer 663,T6260-1G,sigmaaldrich.com
420,,Sodium tetraborate decahydrate,Large chemical cabinet 663,B9876-1KG,sigmaaldrich.com
421,,Sodium thioglycolate,Back -20 663,T0632-25G,sigmaaldrich.com
422,,Sodium tungstate dihydrate,Chemical drawer 663,14304-100G,sigmaaldrich.com
423,,Soduim phosphate monobasic monohydrate NaH2PO4,Chemical cabinet 663,5369-500,fishersci.com
424,,Solution C1,Jenny's bench 663,157030108,qiagen.com
425,,Solution C2,Jenny's bench 663,157026483,qiagen.com
426,,Solution C4,Jenny's bench 663,157027379,qiagen.com
427,,Solution C5,Jenny's bench 663,R1663,mobio.com
428,,Solution C6,Jenny's bench 663,157026428,qiagen.com
429,D-,Sorbitol,Chemical cabinet 663,S3889-500G,sigmaaldrich.com
430,,Spectinomycin dihydrochloride pentahydrate,Fridge 663,152067,mpbio.com
431,,Staphlococcus agar No.110,Large chemical cabinet 663,M156-2.5KG,himedialabs.com
432,,Starch,Chemcial cabinet and fume hood 663,S9765-100G,sigmaaldrich.com
433,,Steric acid,Jenny's bench 663,A12244,alfa.com
434,,Streptomycin sulfate salt,Fridge 663,S6501-25G,sigmaaldrich.com
435,,Succinic acid,Chemical cabinet 663,S-9512,sigmaaldrich.com
436,,Sucralose,Chemical cabinet 663,S3437,spectrumchemical.com
437,,Sucrose,Chemical cabinet 663,177140010,fishersci.com
438,,Sulfanilamide,Chemical cabinet 663,S9251-100G,sigmaaldrich.com
439,,Taurine,Chemical cabinet 663,T0625-100G,sigmaaldrich.com
440,,Taurocholic acid sodium salt hydrate,Chemical cabinet 663,4009-100G,sigmaaldrich.com
441,,TC Lactalbumin hydrolysate,Armando's bench 663,259962,bdbiosciences.com
442,,Terrific broth,Chemical cabinet 663,BP2468-100,fishersci.com
443,,Tertradecanoic acid,Jenny's bench 663,A12067,alfa.com
444,,Tetraacetic acid,Chemical cabinet 663,02783-100,fishersci.com
