ID,Name,Cat ,Web
219,Methyl-a-D-glucopyranoside,M9376-100G,sigmaaldrich.com
220,Methylumbelliferyl-?-D-glucuronide,M9130-25MG,sigmaadrich.com
221,Metronidazole,210340050,fishersci.com
222,Minimal salts 5x,248510,bdbiosciencs.com
223,MOPS,M1234-250G,sigmaaldrich.com
224,Mucic acid,M89617-100G,sigmaaldrich.com
225,Mucin from porcine stomach,M2378-100G,sigmaaldrich.com
226,Muscimol,M1523-5MG,sigmaaldrich.com
227,Nalidixic Acid,N8878-5G,sigmaaldrich.com
228,Nalidixic acid sodium salt,N4382-5G,sigmaaldrich.com
229,Neutralization buffer,D4036-240,zhymoreresearch.com
230,Nickel (II) chloride,223387-25G,sigmaaldrich.com
231,Nicotinamide,N0636-100G,sigmaaldrich.com
232,Nicotinic acid,128290050,fishersci.com
233,Nisin from Lactococcus lactis,N5764-5G,sigmaaldrich.com
234,Nitrilotriacetic acid,A11936,alfa.com
235,Nitrophenyl ?-D galactopyranoside,N1127-25MG,sigmaaldrich.com
236,Nitrophenyl-?-D glucoranide,N1627-250MG,sigmaaldrich.com
237,Novobiocin sodium salt,491207,calbiochem.com
238,Nutrient broth Difco 234000,234000,bdbiosciences.com
239,N?-p-Tosyl-L-arginine methyl ester hydrochloride,T4626-5G,sigmaaldrich.com
240,Ofloxacin,O87571G,sigmaaldrich.com
241,Oleic acid,O0180,tcichemicals.com
242,Orotic Acid,02575-100G,sigmaaldrich.com
243,Palmitic acid,P0500-10G,sigmaaldrich.com
244,Pancreatin from porcine pancreas,T626-5G,sigmaaldrich.com
245,Pantothenic Acid Calcium Salt Hydrate,259721-5G,sigmaaldrich.com
246,Pantothenic Acid Hemi-Calcium salt,P-2250,sigmaaldrich.com
247,Pectin from apple,76282-100G,sigmaaldrich.com
248,Pepsin from porcine gastric mucsa,P6887-1G,sigmaaldrich.com
249,Peptone,LP0072,thermofisher.com
250,Peptone 140,J849-500G,us.vwr.com
251,Peptone from casein pancreatic digest,70169-500G,sigmaaldrich.com
252,Phenanthroline,131377-5G,simgaaldrich.com
253,Phenylalanine,BP391-100,fishersci.com
254,Polyethylene glycol,P5402-500G,sigmaaldrich.com
255,Polygalacturonic acid 25g,L04206,alfa.com
256,Ponceau S,P3504-10G,sigmaaldrich.com
257,Potassium acetate,BP364-500,fishersci.com
258,Potassium carbonate,209619-500G,sigmaaldrich.com
259,Potassium chloride,P5605-500G,sigmaaldrich.com
260,Potassium cyanide,60178-52G,sigmaaldrich.com
261,Potassium hydroxide,314-01,avantornic.com
262,Potassium phosphate dibasic K2HPO4,0705-500G,us.vwr.com
263,Potassium phosphate monobasic KH2PO4,BP362-500,fishersci.com
264,Potassium tetraborate tetrahydrate,39435,alfa.com
265,Potassium-L-aspartate,P22450,pfaltzandbauer.com
266,Potato dextrose agar,P2182-250G,sigmaaldrich.com
267,Power bead solution,157033243,qiagen.com
268,Proline,P0380-100G,sigmaaldrich.com
269,Proteinase K,P2038-100MG,sigmaaldrich.com
270,Proteose peptone no.3 bacto,211693500G,bdbiosciences.com
271,Pyridoxal 5'-phosphate,P9255-5G,sigmaaldrich.com
272,Pyridoxal HCl,P6155-5G,sigmaaldrich.com
273,Pyridoxamine dihydrochloride,P9380-1G,sigmaaldrich.com
274,Pyridoxine HCl,P-9755,sigmaaldrich.com
275,Quercentin Dihyrdrate,21000,usbweb.com
276,Raffinose pentahydrate,R0250-25G,sigmaaldrich.com
277,Reinforced clostridial medium,218081,bdbiosciences.com
278,Resazurin sodoim salt,R7017-1G,sigmaaldrich.com
279,Riboflavin,P9504-25G,sigmaaldrich.com
280,Riboflavin 5'-phosphate sodium salt hydrate,R7704-25G,sigmaaldrich.com
281,Ribose,R9629-25G,sigmaaldrich.com
282,Rifampicin,R3501-5G,sigmaaldrich.com
283,Rubidium chloride,12892,alfa.com
284,Saccarin sodium,S394-500,fishersci.com
285,Serine,S4500-100G,sigmaaldrich.com
286,Serine hydroxamate,S4503-250MG,sigmaaldrich.com
287,Silver sulfate,11417,alfa.com
288,Skim milk,6342932,bdbiosciences.com
289,SOB medium,244310,bdbiosciences.com
290,Sodium acetate anhydrous,A13184,alfa.com
291,Sodium azide,S5761-500G,sigmaaldrich.com
292,Sodium bicarbonate,BP357-1,fishersci.com
293,Sodium chloride,S7653-1KG,sigmaadrich.com
294,Sodium chloride crystal,3654-05,avantornic.com
295,Sodium citrate dihydrate,3646-01,avantornic.com
296,Sodium Deoxycholate,D6750-25G,sigmaadrich.com
297,Sodium dodecyl sulfate (SDS),BP166-500,fishersci.com
298,Sodium fluoride,11561,alfa.com
299,Sodium formate,71539,sigmaadrich.com
300,Sodium glychochenodeoxycholate,G0759-500MG,alfa.com
301,Sodium glycocholate hydrate,G7132-1G,sigmaaldrich.com
302,Sodium glycodeoxycholate,G9910-1G,sigmaaldrich.com
303,Sodium hydroxide,7708.06,avantormaterials.com
304,Sodium L-tartrate dibasic dihydrate,33242,alfa.com
305,Sodium molybdate dihydrate,331058-5G,sigmaaldrich.com
306,Sodium nitrate,S343-500,fishersci.com
307,Sodium nitrite,237213-100G,sigmaaldrich.com
308,Sodium n-octyl sulfate,A11786,alfa.com
309,Sodium phosphate dibasic anhydrous,3828-01,avantornic.com
310,Sodium phosphate monobasic monohydrate,0832-1KG,us.vwr.com
